"species","common_name","sci_name","phylo_name","Bmass","logBm","social_monogamy","nbrood","avgbrood","avgsire","pmult","pred_pmult","resid_pmult","mean.q","mean.nmates","taxa"
"Black guillemot, Cepphus grylle","Black guillemot","Cepphus grylle","Cepphus_grylle",378,5.93489419561959,"mono",32,1.4375,1,0,0.291017623813193,0.291017623813193,0.646937434136808,3.0843946875,"bird"
"Black-browed reed-warbler, Acrocephalus bistrigiceps","Black-browed reed-warbler","Acrocephalus bistrigiceps","Acrocephalus_bistrigiceps",8,2.07944154167984,"xmono",37,3.78378378378378,1.13513513513514,0.135135135135135,0.582748042445094,0.447612907309959,0.374578645879309,5.13414378378378,"bird"
"Black-capped chickadee, Parus atricapillus","Black-capped chickadee","Parus atricapillus","Parus_atricapillus",10.8,2.37954613413017,"mono",57,6.15789473684211,1.40350877192982,0.333333333333333,0.660969268709103,0.32763593537577,0.288950986707308,7.27245122807018,"bird"
"Black-crowned antshrike, Thamnophilus atrinucha","Black-crowned antshrike","Thamnophilus atrinucha","Thamnophilus_atrinucha",23.6,3.16124671203156,"mono",50,1.78,1.04,0.04,0.364365371809851,0.324365371809851,0.608860280260544,3.3319788,"bird"
"Black-legged kittiwake, Rissa tridactyla","Black-legged kittiwake","Rissa tridactyla","Rissa_tridactyla",414.7874,6.02776609980915,"mono",86,1.38372093023256,1,0,0.278428116919125,0.278428116919125,0.666647456672817,2.98479441860465,"bird"
"Blue tit, Parus caeruleus","Blue tit","Parus caeruleus","Parus_caeruleus",10.5298,2.35420933261318,"mono",14,6.28571428571429,1.21428571428571,0.285714285714286,0.661318495897262,0.375604210182976,0.264079953312888,7.19561928571428,"bird"
"Blue-black grassquits, Volatinia jacarina","Blue-black grassquits","Volatinia jacarina","Volatinia_jacarina",9.8466,2.2871262179315,"mono",11,1.81818181818182,1.36363636363636,0.363636363636364,0.371799100153102,0.00816273651673793,0.627007368735029,3.56156181818182,"bird"
"Boreal owl, Aegolius funereus","Boreal owl","Aegolius funereus","Aegolius_funereus",167.825,5.12292176982482,"mono",32,3.40625,1,0,0.556686952222408,0.556686952222408,0.416091770576349,4.71379125,"bird"
"Buff-breasted wrens, Thryothorus leucotis","Buff-breasted wrens","Thryothorus leucotis","Thryothorus_leucotis",18,2.89037175789616,"mono",31,1.70967741935484,1.03225806451613,0.032258064516129,0.350280182518183,0.318022118002054,0.611831815058619,3.21574225806451,"bird"
"Cactus finch, Geospiza scandens","Cactus finch","Geospiza scandens","Geospiza_scandens",22.7,3.12236492448736,"mono",66,2.40909090909091,1.16666666666667,0.151515151515152,0.468445685343465,0.316930533828313,0.513353996789938,3.91852787878788,"bird"
"Campo Flicker, Colaptes campestris","Campo Flicker","Colaptes campestris","Colaptes_campestris",158,5.06259503302697,"xmono",33,2.72727272727273,1.03030303030303,0.0303030303030303,0.506043491240156,0.475740460937126,0.488193143953449,4.0305103030303,"bird"
"Cape pendulin tit, Anthoscopus minutus","Cape pendulin tit","Anthoscopus minutus","Anthoscopus_minutus",6.6,1.88706964903238,"mono",13,3.23076923076923,1.15384615384615,0.153846153846154,0.543501783636846,0.389655629790692,0.48619565032598,4.26344153846154,"bird"
"Cherrie's tanager, Ramphocelus costaricensis","Cherrie's tanager","Ramphocelus costaricensis","Ramphocelus_costaricensis",31,3.43398720448515,"mono",31,1.8,1.13333333333333,0.133333333333333,0.368278060966378,0.234944727633045,0.619037215721762,3.43948129032258,"bird"
"Chestnut-sided warbler, Dendroica pensylvanica","Chestnut-sided warbler","Dendroica pensylvanica","Dendroica_pensylvanica",9.1,2.2082744135228,"mono",33,2.87878787878788,1.6969696969697,0.606060606060606,0.518711360006884,-0.0873492460537219,0.541442912076455,4.35961696969697,"bird"
"Chilean swallow, Tachycineta meyeni","Chilean swallow","Tachycineta meyeni","Tachycineta_meyeni",14.9,2.70136121295141,"mono",52,3.09615384615385,1.13461538461538,0.115384615384615,0.532706241894836,0.417321626510221,0.45596350738835,4.50370711538461,"bird"
"Comb-crested jacana, Irediparra gallinacea","Comb-crested jacana","Irediparra gallinacea","Irediparra_gallinacea",130,4.86753445045558,"xmono",10,3.5,1.1,0.1,0.563352208823287,0.463352208823287,0.429176010341976,4.718707,"bird"
"Common crossbill, Loxia curvirostra","Common crossbill","Loxia curvirostra","Loxia_curvirostra",40.2457,3.69500316585946,"mono",34,2.82352941176471,1,0,0.514761676975145,0.514761676975145,0.459545358827847,4.12519147058824,"bird"
"Common redstart, Phoenicurus phoenicurus","Common redstart","Phoenicurus phoenicurus","Phoenicurus_phoenicurus",14.5,2.67414864942653,"mono",38,6.65789473684211,1.10526315789474,0.105263157894737,0.662865120175477,0.55760196228074,0.25529517879547,7.71843342105264,"bird"
"Cooper's hawk, Accipiter cooperii","Cooper's hawk","Accipiter cooperii","Accipiter_cooperii",529,6.2709884318583,"mono",44,3.18181818181818,1.34090909090909,0.340909090909091,0.539610725110464,0.198701634201373,0.474185668685669,4.45262,"bird"
"Crimsom rosella, Platycercus elegans","Crimsom rosella","Platycercus elegans","Platycercus_elegans",118.7174,4.77674587890971,"mono",42,4.40476190476191,1,0,0.621293018480527,0.621293018480527,0.333570470775564,5.47332738095238,"bird"
"Crimson-breasted shrike, Laniarius atrococcineus","Crimson-breasted shrike","Laniarius atrococcineus","Laniarius_atrococcineus",48.8,3.8877303128591,"mono",41,1.80487804878049,1.26829268292683,0.268292682926829,0.369226093736073,0.100933410809244,0.635638083779469,3.3115843902439,"bird"
"Dickcissel, Spiza americana","Dickcissel","Spiza americana","Spiza_americana",23.3145,3.14907548460893,"xmono",92,2.3695652173913,1.32608695652174,0.282608695652174,0.463008574565016,0.180399878912842,0.561186272244377,3.82117684782609,"bird"
"Eastern bluebird, Sialia sialis","Eastern bluebird","Sialia sialis","Sialia_sialis",27.5,3.31418600467253,"mono",79,3.73809523809524,1.0952380952381,0.0952380952380952,0.579655625308301,0.484417530070205,0.378153521254072,5.04340088607595,"bird"
"Eastern imperial eagle, Aquila heliaca","Eastern imperial eagle","Aquila heliaca","Aquila_heliaca",3186.6667,8.06673072783759,"mono",86,1.93023255813953,1,0,0.392736253676579,0.392736253676579,0.575905188523045,3.42544802325582,"bird"
"El oro parakeet, Pyrrhura orcesi","El oro parakeet","Pyrrhura orcesi","Pyrrhura_orcesi",70.8,4.25985900069967,"mono",28,3.71428571428571,1.10714285714286,0.107142857142857,0.578041214251187,0.47089835710833,0.406528263264225,5.09182857142857,"bird"
"Elegant scops-owl, Otus elegans","Elegant scops-owl","Otus elegans","Otus_elegans",124,4.82028156560504,"mono",108,1.85185185185185,1.00925925925926,0.00925925925925926,0.378228901419901,0.368969642160642,0.586962347412775,3.32254648148148,"bird"
"Eurasian linnet, Carduelis cannabina","Eurasian linnet","Carduelis cannabina","Carduelis_cannabina",18.9,2.9391619220656,"mono",22,4.81818181818182,1.09090909090909,0.0909090909090909,0.639304146138021,0.54839505522893,0.333823248080866,5.99687318181818,"bird"
"Eurasian reed-warbler, Acrocephalus scirpaceus","Eurasian reed-warbler","Acrocephalus scirpaceus","Acrocephalus_scirpaceus",12.3,2.50959926237837,"mono",52,3.57692307692308,1.15384615384615,0.153846153846154,0.568686593499169,0.414840439653015,0.426384604043517,4.93533538461539,"bird"
"Eurasian three-toed woodpecker, Picoides tridactylus","Eurasian three-toed woodpecker","Picoides tridactylus","Picoides_tridactylus",61.2,4.11414718951828,"mono",26,3.07692307692308,1.07692307692308,0.0769230769230769,0.531305436425791,0.454382359502714,0.41843492605469,4.42481192307693,"bird"
"European nuthatch, Sitta europaea","European nuthatch","Sitta europaea","Sitta_europaea",18.6,2.92316158071916,"mono",32,5.875,1.375,0.375,0.660010432192681,0.285010432192681,0.296709479071262,6.838221875,"bird"
"Field sparrow, Spizella pusilla","Field sparrow","Spizella pusilla","Spizella_pusilla",12.5,2.52572864430826,"mono",80,3.85,1.5,0.8,0.587207281396081,-0.212792718603919,0.426689374989943,5.1141305,"bird"
"Golden whistlers, Pachycephala pectoralis","Golden whistlers","Pachycephala pectoralis","Pachycephala_pectoralis",33.425,3.50930412298801,"mono",65,2,1.13846153846154,0.123076923076923,0.405117443970635,0.282040520893712,0.567532103572234,3.47514446153846,"bird"
"Golden-winged warblers, Vermivora chrysoptera","Golden-winged warblers","Vermivora chrysoptera","Vermivora_chrysoptera",8.6,2.15176220325946,"mono",54,4.37037037037037,1.70557692307692,0.538461538461538,0.619451656970916,0.0809901185093777,0.431260015362626,5.60129833333333,"bird"
"Great cormorant, Phalacrocorax carbo","Great cormorant","Phalacrocorax carbo","Phalacrocorax_carbo",2140.4286,7.66876136833629,"mono",30,4.13333333333333,1.43333333333333,0.3,0.605607039537107,0.305607039537107,0.424656883076234,5.38326533333334,"bird"
"Great reed warbler, Acrocephalus arundinaceus","Great reed warbler","Acrocephalus arundinaceus","Acrocephalus_arundinaceus",30,3.40119738166216,"xmono",272,2.49819655521783,1.06617647058824,0.0661764705882353,0.479948993113777,0.413772522525541,0.500573847680481,3.91304084558824,"bird"
"Great tit, Parus major","Great tit","Parus major","Parus_major",17.6,2.86789890204411,"mono",13,6.30769230769231,1.30769230769231,0.307692307692308,0.66138806244463,0.353695754752322,0.282490610609131,7.46794771488471,"bird"
"Great tit, Parus major","Great tit","Parus major","Parus_major",17.6,2.86789890204411,"mono",47,6.46808510638298,1.61702127659574,0.553191489361702,0.661979169464976,0.108787680103274,0.282490610609131,7.46794771488471,"bird"
"Great tit, Parus major","Great tit","Parus major","Parus_major",17.6,2.86789890204411,"mono",99,6.73737373737374,1.26262626262626,0.252525252525253,0.663294956670719,0.410769704145466,0.282490610609131,7.46794771488471,"bird"
"Greater sage-grouse, Centrocercus urophasianus","Greater sage-grouse","Centrocercus urophasianus","Centrocercus_urophasianus",1693.38,7.43448181057979,"xmono",191,6.31413612565445,1.07368421052632,0.0736842105263158,0.661408984794478,0.587724774268162,0.238770151735071,7.76613256218907,"bird"
"Greater sage-grouse, Centrocercus urophasianus","Greater sage-grouse","Centrocercus urophasianus","Centrocercus_urophasianus",1693.38,7.43448181057979,"xmono",10,7.2,1.2,0.2,0.666463389085385,0.466463389085385,0.238770151735071,7.76613256218907,"bird"
"Grey fantail, Rhipidura fuliginosa","Grey fantail","Rhipidura fuliginosa","Rhipidura_fuliginosa",7.7787,2.05138922911267,"mono",25,1.96,1.8,0.64,0.398079159797851,-0.241920840202149,0.642851062666644,3.5256284,"bird"
